Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
6327	YPR115W	NC_001148.4	754877	758128	+	3252	-13.2485353618106	-12.6357715478734	7.67462222754299	3159.96963277138	3.8795758503304e-17	2.63576032013356e-16
1385	YDR399W	NC_001136.10	1270068	1270733	+	666	-13.5952759638366	-12.2245808114883	7.23317561168325	3159.37805106083	3.8850426195438e-17	2.63627892040472e-16
2907	YIL151C	NC_001141.2	57338	60694	-	3357	-13.0924277220671	-12.5454812835886	7.40858755328386	3156.77939002268	3.90281196779301e-17	2.63628694677628e-16
5787	YOR260W	NC_001147.6	813984	815720	+	1737	-14.1403743295199	-13.6618574646696	6.14309713047707	3155.6679331856	3.9186435696986e-17	2.63628694677628e-16
2437	YGR163W	NC_001139.9	827552	828577	+	1026	-13.7464215154456	-13.8630270515665	6.06631541706789	3155.43036885923	3.92060662194124e-17	2.63628694677628e-16
4890	YMR289W	NC_001145.3	848685	849809	+	1125	-15.9936799209224	-15.2210841193715	4.5607832962573	3161.87774819988	3.9345297278467e-17	2.63628694677628e-16
5166	YNL092W	NC_001146.8	450871	452073	+	1203	-15.243439464588	-15.4961724767045	4.99422024932821	3157.29535603813	3.93888616242214e-17	2.63628694677628e-16
2980	YIL083C	NC_001141.2	203556	204653	-	1098	-14.1850705706754	-13.6117912825246	6.20871168170403	3152.90108337006	3.93888693084059e-17	2.63628694677628e-16
4633	YMR055C	NC_001145.3	386101	387021	-	921	-16.2920336491995	-16.1432042477842	4.11046714278619	3169.33320978468	3.94175436362678e-17	2.63628694677628e-16
2096	YGL154C	NC_001139.9	215278	216096	-	819	-15.1614364703964	-15.344616337795	4.85334442674693	3155.92107659118	3.94662369771986e-17	2.63628694677628e-16
4947	YNL316C	NC_001146.8	42071	43075	-	1005	-15.7744251213577	-15.6006098950663	4.18030188520032	3162.91709390158	3.95108774049034e-17	2.63628694677628e-16
3713	YKL022C	NC_001143.9	394726	397248	-	2523	-13.4036454688006	-14.1552546053788	6.18953663014326	3151.10107326302	3.95275676565514e-17	2.63628694677628e-16
1243	YDR265W	NC_001136.10	998864	999877	+	1014	-15.6184623218614	-14.9447248224988	4.93588339781893	3154.84722035756	3.95980194687031e-17	2.63628694677628e-16
6236	YPR022C	NC_001148.4	603911	607312	-	3402	-13.5221411600057	-12.8735928000549	6.94717593451204	3148.93964857331	3.96410448859407e-17	2.63628694677628e-16
2076	YGL173C	NC_001139.9	175527	180113	-	4587	-10.388766972687	-11.5358993898589	8.95835296177879	3148.26355614174	3.96467737616446e-17	2.63628694677628e-16
6050	YPL161C	NC_001148.4	244319	246220	-	1902	-15.6184512733005	-15.1252862589613	4.69646896441961	3154.65501124893	3.96857015335118e-17	2.63628694677628e-16
1698	YER073W	NC_001137.3	304030	305592	+	1563	-13.6111802171478	-15.0813968662519	5.62351794637795	3149.95385934163	3.97220905881656e-17	2.63628694677628e-16
321	YBR089C-A	NC_001134.8	426190	426489	-	300	-12.0523298834041	-13.4629045106612	7.02755583710261	3147.38196366458	3.97646260815109e-17	2.63628694677628e-16
1830	YER183C	NC_001137.3	553334	553969	-	636	-15.2122024517739	-15.3090856339568	4.69140817231059	3151.87512571728	3.9839493303546e-17	2.63628694677628e-16
2791	YHR141C	NC_001140.6;NC_001140.6	381990;382748	382306;382751	-;-	321	-12.2217386579131	-11.687892135328	7.73561753461826	3144.99658858711	3.99184788986448e-17	2.63628694677628e-16
2806	YHR155W	NC_001140.6	407103	410789	+	3687	-14.2493323264151	-13.5680109927917	6.55643467553912	3145.15124081693	3.99725408223567e-17	2.63628694677628e-16
4914	YMR313C	NC_001145.3	899379	901307	-	1929	-12.6013700249976	-13.7190619309743	6.8030188218574	3144.38422263229	3.99954629753574e-17	2.63628694677628e-16
3664	YKL068W-A	NC_001143.9	309206	309442	+	237	-13.4258532278302	-14.9069548647609	5.60100228329567	3147.14810627453	4.00156827079564e-17	2.63628694677628e-16
802	YDL164C	NC_001136.10	164987	167254	-	2268	-15.1657597779681	-14.6886779305984	5.01421955131958	3147.36528179973	4.00559175834327e-17	2.63628694677628e-16
3250	YJL083W	NC_001142.9	278841	280655	+	1815	-15.3548870958968	-15.1747573864005	5.16180670181717	3147.63086286241	4.006987519463e-17	2.63628694677628e-16
6354	YPR140W	NC_001148.4	814391	815536	+	1146	-13.5384058809722	-14.0497535328228	6.00924722551989	3144.08238418854	4.0076075401628e-17	2.63628694677628e-16
4194	YLR250W	NC_001144.5	640317	641021	+	705	-13.5935883639859	-12.9632602678827	6.56221374605641	3142.69844132948	4.01309066243805e-17	2.63628694677628e-16
3344	YJR004C	NC_001142.9	442909	444861	-	1953	-15.6744137656322	-15.5960906774144	4.91391971402325	3147.55008762367	4.02810217101486e-17	2.63628694677628e-16
3941	YLR028C	NC_001144.5	199540	201315	-	1776	-12.1265647233536	-12.8663795016403	7.48552708682853	3140.06604637643	4.02861043247543e-17	2.63628694677628e-16
2376	YGR110W	NC_001139.9	713709	715046	+	1338	-14.1811617065244	-13.9383447468942	5.83540588455557	3141.22857863577	4.03087248183634e-17	2.63628694677628e-16
5295	YNR032W	NC_001146.8	686010	687116	+	1107	-15.0758618271041	-14.7882993053178	5.13271700913677	3143.03231438063	4.03460119568295e-17	2.63628694677628e-16
4946	YNL317W	NC_001146.8	40619	42016	+	1398	-15.2148227388988	-15.2415294745486	4.7649634076213	3144.61247182712	4.03578949840941e-17	2.63628694677628e-16
5579	YOR051C	NC_001147.6	424846	426084	-	1239	-13.1102173684826	-12.8126701815625	7.34511545601158	3136.91174045499	4.05413294753499e-17	2.63628694677628e-16
3018	YIL044C	NC_001141.2	272950	273846	-	897	-14.2607934043689	-14.3769218944678	5.63546094902888	3138.46080028439	4.05533451437104e-17	2.63628694677628e-16
251	YBR029C	NC_001134.8	296369	297742	-	1374	-14.9826027281677	-13.71507342119	6.00213794320887	3138.5975069005	4.05704930354923e-17	2.63628694677628e-16
5889	YOR360C	NC_001147.6	1013241	1014821	-	1581	-13.8725113040483	-13.6573884234376	6.67903532886856	3135.61458108284	4.06989601475602e-17	2.63628694677628e-16
2503	YGR222W	NC_001139.9	939923	940804	+	882	-13.7101985839363	-13.8842462020658	5.95404419160011	3135.88672640038	4.07194991146832e-17	2.63628694677628e-16
1798	YER157W	NC_001137.3	484788	487193	+	2406	-15.3027003576731	-14.618340927148	5.32545373613543	3137.84835346176	4.07565433277854e-17	2.63628694677628e-16
3984	YLR071C	NC_001144.5	275378	278626	-	3249	-13.7568931607801	-13.6788683108886	6.33804553690263	3134.42822385481	4.07958035486617e-17	2.63628694677628e-16
4602	YMR029C	NC_001145.3	328660	330231	-	1572	-13.4872025579364	-13.5275541128504	6.61040566644877	3134.09022047776	4.08014602163626e-17	2.63628694677628e-16
4356	YLR405W	NC_001144.5	929789	930892	+	1104	-15.482747200975	-14.7119375419844	4.92615283528237	3138.26022949537	4.08478816513387e-17	2.63628694677628e-16
2597	YHL026C	NC_001140.6	53219	54166	-	948	-15.2250946084088	-16.1833449584729	4.32183828753095	3144.24318203368	4.08670984349319e-17	2.63628694677628e-16
5376	YOL138C	NC_001147.6	61325	65350	-	4026	-13.3685668753692	-13.4551399497401	7.22680055202445	3132.68314256648	4.0896090896462e-17	2.63628694677628e-16
4879	YMR279C	NC_001145.3	824729	826351	-	1623	-14.9877861660369	-15.190839566988	5.39768908159922	3134.90486736321	4.09743439667281e-17	2.63628694677628e-16
4644	YMR067C	NC_001145.3	404323	405573	-	1251	-13.8579789488127	-14.6656317742298	5.51898898107687	3133.70859573328	4.09821551133625e-17	2.63628694677628e-16
831	YDL133W	NC_001136.10	222427	223740	+	1314	-14.2437684328657	-14.1602232921329	5.80651962559104	3132.46079798112	4.09979614003197e-17	2.63628694677628e-16
2746	YHR101C	NC_001140.6;NC_001140.6	314874;315859	315771;315968	-;-	1008	-16.0991804434567	-15.019370960853	5.00429405110037	3139.73809832305	4.10216345888861e-17	2.63628694677628e-16
1811	YER167W	NC_001137.3	518216	520771	+	2556	-13.5189901146053	-13.6306112611258	6.60482316885875	3131.03374457174	4.10428984925055e-17	2.63628694677628e-16
4765	YMR177W	NC_001145.3	616566	618098	+	1533	-15.2208121221781	-15.0638484996566	4.81468194740253	3135.35334892398	4.1061168680387e-17	2.63628694677628e-16
2084	YGL166W	NC_001139.9	191129	191806	+	678	-14.5873641530568	-14.5342127556163	5.45361947075245	3130.86208716301	4.11994476108259e-17	2.63778934227732e-16
2340	YGR081C	NC_001139.9	643148	643780	-	633	-16.0378595690374	-15.3734086790256	4.07123979016003	3152.13913259514	4.12080771556405e-17	2.63778934227732e-16
2203	YGL048C	NC_001139.9	410069	411286	-	1218	-11.3186548951868	-12.120005217979	8.01197157908481	3128.04144317752	4.12257531460291e-17	2.63778934227732e-16
1410	YDR427W	NC_001136.10	1322205	1323386	+	1182	-11.6860118070306	-12.4351655031882	7.64613736363616	3126.82620889775	4.13324138308663e-17	2.64159839819847e-16
3644	YKL087C	NC_001143.9	277189	277863	-	675	-11.9524773909756	-12.2759893414373	7.65434579300708	3121.65683867811	4.17411763514325e-17	2.66425529037886e-16
5474	YOL045W	NC_001147.6	243497	246802	+	3306	-13.5910785556689	-14.4031404768635	6.21046511236744	3122.19045272559	4.17819875154865e-17	2.66425529037886e-16
6231	YPR017C	NC_001148.4	593486	593917	-	432	-16.0946065651829	-15.6078420857682	4.30184563327772	3131.97035058619	4.18770105929987e-17	2.66728004970179e-16
389	YBR161W	NC_001134.8	561634	562764	+	1131	-14.133328533873	-14.0850610642082	5.85304940465652	3119.7110761194	4.20081235222456e-17	2.67231464464042e-16
3852	YLL062C	NC_001144.5	16639	17613	-	975	-13.9615053954704	-14.4825534100026	5.33752040374646	3124.11091425109	4.20514097515228e-17	2.67231464464042e-16
1815	YER171W	NC_001137.3	527082	529418	+	2337	-14.7051734216633	-14.4235005202798	5.49321417537066	3118.48472923009	4.2185882087957e-17	2.67782411215174e-16
4014	YLR102C	NC_001144.5	342970	343767	-	798	-14.8711874377593	-15.0286419651573	5.00032648162829	3118.97555410944	4.22745395439688e-17	2.68040843510486e-16
901	YDL060W	NC_001136.10	341619	343985	+	2367	-14.262842590335	-13.7458031651001	6.11584198183452	3114.29163159516	4.24336666240719e-17	2.68040843510486e-16
4964	YNL298W	NC_001146.8	68915	71443	+	2529	-15.5388131058796	-15.0367355648215	4.95808691895502	3118.43955566361	4.24420870595262e-17	2.68040843510486e-16
415	YBR187W	NC_001134.8	602634	603476	+	843	-14.8346739815831	-14.2585194330721	5.51502682034879	3114.34880240722	4.25342318437898e-17	2.68040843510486e-16
2353	YGR091W	NC_001139.9	666341	667825	+	1485	-16.3941714133918	-16.4692661154769	3.90165891584238	3135.70233367851	4.25801394654216e-17	2.68040843510486e-16
2500	YGR221C	NC_001139.9	937124	938992	-	1869	-15.3083037355535	-15.3873569321729	4.68729497826836	3117.31928775756	4.25858483100149e-17	2.68040843510486e-16
2780	YHR133C	NC_001140.6	370722	371597	-	876	-14.8515437321198	-14.3386501817985	5.31627897512271	3113.88494007281	4.2605231687659e-17	2.68040843510486e-16
5427	YOL090W	NC_001147.6	147382	150276	+	2895	-15.159142832741	-14.2889804246749	5.14849938564542	3114.72790919871	4.26450165999821e-17	2.68040843510486e-16
2636	YHR006W	NC_001140.6	117814	119439	+	1626	-12.2687009185583	-13.1112872392909	7.15382053081683	3108.05973514687	4.28823043676294e-17	2.68040843510486e-16
5461	YOL056W	NC_001147.6	223268	224179	+	912	-17.4028512093394	-16.1514900555891	4.06030140204158	3177.82709106896	4.29185339435454e-17	2.68040843510486e-16
1341	YDR362C	NC_001136.10	1196679	1198697	-	2019	-14.1799322967534	-14.4247939427023	5.74763572381742	3108.51466354246	4.2945908099074e-17	2.68040843510486e-16
4916	YMR315W	NC_001145.3	902800	903849	+	1050	-12.2272491482781	-12.7440122740808	7.92997775594227	3106.6975207117	4.29663737000889e-17	2.68040843510486e-16
3931	YLR019W	NC_001144.5	180288	181481	+	1194	-13.0769272689088	-13.8879918871677	6.56921036586841	3107.03109232337	4.29881842353499e-17	2.68040843510486e-16
1351	YDR368W	NC_001136.10	1213904	1214842	+	939	-12.69133393267	-12.2849506319483	7.51949699791959	3105.76341960193	4.30493995402358e-17	2.68040843510486e-16
1279	YDR304C	NC_001136.10	1071880	1072557	-	678	-12.4145429364951	-12.1233102908517	7.63776512101546	3105.22010590885	4.30895917313149e-17	2.68040843510486e-16
2440	YGR165W	NC_001139.9	829116	830153	+	1038	-13.5441062597627	-13.4810600725943	6.32349378690188	3105.69382693523	4.31177928957712e-17	2.68040843510486e-16
1034	YDR067C	NC_001136.10	582791	583465	-	675	-15.2544385468219	-14.5404409442203	5.13910348549432	3107.96981805071	4.3190166074212e-17	2.68040843510486e-16
5029	YNL236W	NC_001146.8	206930	209854	+	2925	-14.3419843619411	-14.1448890464067	5.82787112723781	3104.17713552192	4.33074448425753e-17	2.68040843510486e-16
1917	YFR005C	NC_001138.5	154527	155873	-	1347	-15.8794468135527	-15.2605916149208	4.85778502138877	3109.83259060324	4.33372814313207e-17	2.68040843510486e-16
5530	YOR007C	NC_001147.6	338938	339978	-	1041	-11.1936699688164	-10.7769077950684	8.83898132009173	3101.7948775385	4.3361002361764e-17	2.68040843510486e-16
1779	YER140W	NC_001137.3	451565	453235	+	1671	-15.7371290948888	-14.4171633610722	5.53603694909022	3107.12756912599	4.33620119266985e-17	2.68040843510486e-16
3387	YJR048W	NC_001142.9	526335	526664	+	330	-11.0616663266923	-10.7116031640369	8.78545948487007	3100.21625962195	4.34943635491489e-17	2.68040843510486e-16
4963	YNL299W	NC_001146.8	66517	68445	+	1929	-14.401724394462	-14.3359201267869	5.61365893204789	3101.97442768664	4.35175615387479e-17	2.68040843510486e-16
3377	YJR040W	NC_001142.9	507746	510085	+	2340	-14.7889317252106	-14.6552936822181	5.15708980573643	3103.17875665739	4.35357276014955e-17	2.68040843510486e-16
5214	YNL045W	NC_001146.8	542963	544978	+	2016	-13.551483558566	-14.0823417587682	6.14392948231408	3100.50178414128	4.35702009025199e-17	2.68040843510486e-16
4821	YMR228W	NC_001145.3	724626	725651	+	1026	-15.437966146005	-14.7759096453405	5.00336271136718	3104.264315839	4.35743807890028e-17	2.68040843510486e-16
5483	YOL036W	NC_001147.6	256745	259030	+	2286	-12.2438191370641	-11.910636858463	7.98835698270426	3097.79626782445	4.37095933272709e-17	2.68040843510486e-16
5057	YNL206C	NC_001146.8	256788	258155	-	1368	-14.3931279340918	-14.3225637140467	5.65040326489831	3098.93446342507	4.37721978287239e-17	2.68040843510486e-16
4549	YML012W	NC_001145.3	246116	246751	+	636	-12.1291376802111	-11.878805565016	7.63522115710582	3096.96144783051	4.37919029809822e-17	2.68040843510486e-16
5691	YOR163W	NC_001147.6	642741	643307	+	567	-14.3359017090259	-14.0171946611735	5.81593694510916	3098.06015470582	4.38206243617126e-17	2.68040843510486e-16
2446	YGR170W	NC_001139.9	837142	840558	+	3417	-13.8995388336671	-14.0085693401735	6.1766194501686	3097.10112467527	4.38646730149694e-17	2.68040843510486e-16
690	YCR076C	NC_001135.5	249293	250045	-	753	-14.8739997949836	-15.5579055536343	5.10280067463108	3100.36989991188	4.38911975304147e-17	2.68040843510486e-16
4316	YLR364W	NC_001144.5	854062	854391	+	330	-14.337427565354	-15.233353884732	4.72233541504649	3191.85774758937	4.39113853356409e-17	2.68040843510486e-16
1188	YDR214W	NC_001136.10	892875	893927	+	1053	-12.1277396165706	-12.7726842346682	7.34133512086556	3095.43721480768	4.39271854853342e-17	2.68040843510486e-16
2297	YGR038W	NC_001139.9	560682	561350	+	669	-15.740433066629	-15.5936986067486	4.71195376662161	3103.03125726612	4.39272923107008e-17	2.68040843510486e-16
2755	YHR110W	NC_001140.6	332282	332920	+	639	-14.4240458021047	-14.1667926575884	5.91379410048106	3096.57094098397	4.39481775532805e-17	2.68040843510486e-16
6086	YPL125W	NC_001148.4	313388	316486	+	3099	-14.2513892198361	-13.744142004132	6.24772067005321	3095.18979592635	4.40286273423181e-17	2.68118453972435e-16
5716	YOR188W	NC_001147.6	685767	689180	+	3414	-13.7338778672749	-14.37182338028	6.06481694841106	3093.82551480457	4.41582588071189e-17	2.68118453972435e-16
4366	YLR412W	NC_001144.5	948368	949192	+	825	-14.6092902683719	-14.4903436814723	5.58695318891141	3094.18147733576	4.41992603147746e-17	2.68118453972435e-16
5307	YNR043W	NC_001146.8	701895	703085	+	1191	-15.1981919126921	-13.2205370058055	6.43720536234198	3093.18024672616	4.43197069570343e-17	2.68118453972435e-16
5075	YNL185C	NC_001146.8	292193	292669	-	477	-13.8302208173863	-14.4265304084953	5.59229257506697	3092.47982776714	4.43634964718925e-17	2.68118453972435e-16
4464	YML092C	NC_001145.3	85987	86739	-	753	-12.4250156189375	-12.7965058946383	7.1159808512011	3090.32807868053	4.43732369718331e-17	2.68118453972435e-16
4400	YLR446W	NC_001144.5	1025214	1026515	+	1302	-14.7740269982685	-15.5394562220858	5.93540637076927	3093.78116706725	4.43921060666083e-17	2.68118453972435e-16
3341	YJR001W	NC_001142.9	436802	438610	+	1809	-13.4053154589903	-14.0080422189494	6.45735558910145	3089.67083715931	4.44794602140502e-17	2.68118453972435e-16
3527	YKL206C	NC_001143.9	49006	49809	-	804	-14.1680107359374	-14.3595335559308	5.43204447929933	3091.37583051764	4.44976045455679e-17	2.68118453972435e-16
5815	YOR288C	NC_001147.6	852121	853077	-	957	-13.9443461299083	-13.7907052941093	5.75846916116683	3090.84829333648	4.45111742185429e-17	2.68118453972435e-16
5754	YOR226C	NC_001147.6	761614	762084	-	471	-15.2394312202276	-13.7836988271292	5.51723345544578	3090.97235693842	4.45891498116015e-17	2.68118453972435e-16
3095	YIR025W	NC_001141.2	403659	404765	+	1107	-15.5301640509856	-15.2163930151083	4.5672712763558	3094.80441604815	4.45938402245991e-17	2.68118453972435e-16
792	YDL175C	NC_001136.10	144484	145518	-	1035	-14.0830782827273	-14.7067235503267	5.48833039340655	3089.56385450456	4.46204294265391e-17	2.68118453972435e-16
1286	YDR310C	NC_001136.10	1081128	1084316	-	3189	-12.838296348885	-13.2920833949552	7.06765525376906	3086.97637622907	4.46732230541551e-17	2.68118453972435e-16
2900	YIL157C	NC_001141.2	46949	47542	-	594	-13.3966674865426	-13.179119869602	6.49139659259467	3086.66787511264	4.47393343247411e-17	2.68118453972435e-16
5368	YOL146W	NC_001147.6	48864	49448	+	585	-15.2931471820422	-15.8032824971577	4.3596789906776	3095.18564163401	4.47483908122872e-17	2.68118453972435e-16
5552	YOR026W	NC_001147.6	379781	380806	+	1026	-15.2400134799686	-15.317533086734	4.68995010633475	3091.35165562403	4.47741075679214e-17	2.68118453972435e-16
191	YBL024W	NC_001134.8	172534	174588	+	2055	-13.8256279082409	-13.6938115740276	6.05902010585637	3084.92299392008	4.49288778994036e-17	2.68758122333145e-16
4701	YMR118C	NC_001145.3	502144	502734	-	591	-13.0040230802119	-14.9138287704903	6.8163345514169	3079.9550524687	4.53736460708738e-17	2.70829488937103e-16
4376	YLR421C	NC_001144.5	965090	965560	-	471	-12.7391315938456	-12.7358974281465	7.06436678941651	3078.2785679117	4.54336843304269e-17	2.70829488937103e-16
429	YBR200W	NC_001134.8	620872	622527	+	1656	-14.4177250322052	-13.7970117442262	5.93847912670665	3079.09132702396	4.54678929241621e-17	2.70829488937103e-16
4773	YMR183C	NC_001145.3	626921	627808	-	888	-14.9699094044071	-14.704231694419	4.94166877254844	3082.47284606793	4.54684298108499e-17	2.70829488937103e-16
4332	YLR380W	NC_001144.5	878282	879508	+	1227	-14.1939919241869	-14.6698957095803	5.30631250065701	3079.62521431218	4.55620837659339e-17	2.7109923514656e-16
4727	YMR142C	NC_001145.3;NC_001145.3	550206;551204	550801;551207	-;-	600	-11.3163681602322	-10.9416062030348	8.66455777681047	3075.35851331883	4.56548892583323e-17	2.71151954951796e-16
3199	YJL132W	NC_001142.9	161914	164166	+	2253	-14.3448615952995	-14.4834274888017	5.79158938273637	3076.58421353196	4.57147850022987e-17	2.71151954951796e-16
4126	YLR180W	NC_001144.5	515262	516410	+	1149	-14.0367179781724	-14.3504736433105	5.54498412266399	3077.02420952564	4.5717488283862e-17	2.71151954951796e-16
6258	YPR043W	NC_001148.4;NC_001148.4	654166;654571	654167;654847	+;+	279	-10.8416165812123	-11.3130529625633	8.55518148131059	3073.89122769103	4.57868917559989e-17	2.71151954951796e-16
3145	YJL187C	NC_001142.9	76803	79262	-	2460	-14.9842440646855	-14.5699245071443	5.010346209371	3078.2451698761	4.58128280712491e-17	2.71151954951796e-16
4741	YMR157C	NC_001145.3	571277	572044	-	768	-13.6116534226651	-12.9994298610539	6.52036298500501	3072.70689624643	4.59696273963109e-17	2.71700599698858e-16
1613	YER003C	NC_001137.3;NC_001137.3	157736;159088	158994;159118	-;-	1290	-13.1755260565208	-12.7778324938514	6.72497485635309	3072.20305875053	4.60025155943079e-17	2.71700599698858e-16
4167	YLR225C	NC_001144.5	587695	588918	-	1224	-12.6488120177621	-13.3080410905006	6.86621048170618	3071.10692108929	4.60928350184245e-17	2.71700599698858e-16
2715	YHR072W	NC_001140.6	239098	241293	+	2196	-14.9981368508591	-13.9460949368981	6.1118355106471	3072.70443383574	4.61030832592343e-17	2.71700599698858e-16
4063	YLR149C	NC_001144.5	437631	439823	-	2193	-11.8717363478965	-12.9508628812678	7.67045746238883	3070.02015658228	4.61478984680308e-17	2.71700599698858e-16
339	YBR109C	NC_001134.8	457919	458362	-	444	-12.9830117158941	-12.460267247713	7.16217733638635	3068.50382609818	4.63116977754488e-17	2.72378873065468e-16
3028	YIL034C	NC_001141.2	289226	290089	-	864	-12.878438900745	-13.1057376381842	6.78575292679073	3067.91716387698	4.63874109100082e-17	2.72538195126411e-16
5249	YNL016W	NC_001146.8	602907	604268	+	1362	-11.8898452732545	-12.4836016166084	7.66641679538813	3066.56730118877	4.64608530545411e-17	2.72561377033352e-16
393	YBR164C	NC_001134.8	567875	568426	-	552	-14.2530405891458	-13.9741272045309	5.67317947621749	3068.09162464252	4.648861310328e-17	2.72561377033352e-16
538	YCL074W	NC_001135.5	2824	3750	+	927	-18.0395882368332	-16.8092545985124	4.16799805998425	3171.06133699919	4.6587652789176e-17	2.72856628927201e-16
564	YCL044C	NC_001135.5	47111	48364	-	1254	-15.889785657807	-15.4482478764278	4.22524427296775	3075.26800992188	4.67668952758631e-17	2.73557619537235e-16
2077	YGL172W	NC_001139.9	180700	182118	+	1419	-14.1770580144397	-14.5844279004059	5.67537377663509	3063.44383570768	4.69175348793241e-17	2.73557619537235e-16
4322	YLR370C	NC_001144.5	861718	862254	-	537	-13.1084771886557	-13.3462351824244	6.63885345801125	3061.31426105369	4.69912680025326e-17	2.73557619537235e-16
5583	YOR057W	NC_001147.6	432186	433373	+	1188	-13.3799910131202	-13.9418814162301	6.3540722451491	3060.30977935235	4.71083324378354e-17	2.73557619537235e-16
2525	YGR245C	NC_001139.9	979765	982068	-	2304	-13.7856384061758	-13.446700113751	6.51311752243187	3059.45358047447	4.71891206784083e-17	2.73557619537235e-16
5095	YNL162W	NC_001146.8;NC_001146.8	331322;331838	331325;332154	+;+	321	-12.4025256235837	-12.1538727418365	7.51739542191681	3058.79099429667	4.71962606141227e-17	2.73557619537235e-16
4896	YMR295C	NC_001145.3	858297	858890	-	594	-11.3807830281026	-11.4246181463423	8.45406326043886	3058.26473577775	4.72135408803219e-17	2.73557619537235e-16
2070	YGL180W	NC_001139.9	160065	162758	+	2694	-12.2236865509088	-13.4510472297343	7.47051541027893	3057.77428286782	4.72938982244635e-17	2.73557619537235e-16
4874	YMR274C	NC_001145.3	814364	815311	-	948	-15.9484731545462	-16.0583916824908	4.00957093906073	3072.15176802285	4.73219955983642e-17	2.73557619537235e-16
5987	YPL224C	NC_001148.4	126634	128088	-	1455	-14.8583472270718	-13.8408759280549	5.73840662008545	3058.84911333713	4.73731407953442e-17	2.73557619537235e-16
3174	YJL156C	NC_001142.9	126853	128952	-	2100	-14.1319946253588	-13.8145028822697	6.09068718016184	3057.28125245155	4.74239083390451e-17	2.73557619537235e-16
5719	YOR191W	NC_001147.6	692475	697334	+	4860	-12.7265720358616	-12.5789677247477	7.66215191339548	3056.04683740736	4.74430547305854e-17	2.73557619537235e-16
808	YDL157C	NC_001136.10	174232	174588	-	357	-14.1332021201153	-14.3605295121264	5.46574195205609	3057.82693608703	4.75025821634811e-17	2.73557619537235e-16
5857	YOR329C	NC_001147.6	936731	939349	-	2619	-13.2745542381068	-14.2830932787503	6.17072418065417	3055.90819103407	4.75529775119831e-17	2.73557619537235e-16
2811	YHR159W	NC_001140.6	417549	419063	+	1515	-14.5632285634133	-15.0897011297899	5.33396220264993	3056.84461536334	4.76338569652937e-17	2.73557619537235e-16
6201	YPL010W	NC_001148.4	535018	535587	+	570	-13.618522569275	-13.1402845461066	6.35385942135342	3053.99496152573	4.77145863724426e-17	2.73557619537235e-16
5847	YOR317W	NC_001147.6	909343	911445	+	2103	-10.8538387586522	-12.2499306963011	8.8383456297475	3051.38230549075	4.78634765536838e-17	2.73557619537235e-16
4050	YLR137W	NC_001144.5	417006	418109	+	1104	-15.5804468348818	-15.9983222688581	4.20573269037267	3062.46107304177	4.79001500182511e-17	2.73557619537235e-16
3349	YJR008W	NC_001142.9	452430	453446	+	1017	-13.9414300818932	-13.7173031028832	6.30651370302938	3051.99436933203	4.79074281669192e-17	2.73557619537235e-16
3172	YJL158C	NC_001142.9	122265	122948	-	684	-11.1508635977022	-13.0263581466075	7.59253977175013	3052.50160021673	4.79556057541183e-17	2.73557619537235e-16
2507	YGR227W	NC_001139.9	947420	948997	+	1578	-15.1063730562693	-14.2227714559344	5.46277997754521	3052.84381087897	4.80191600212863e-17	2.73557619537235e-16
4187	YLR244C	NC_001144.5	625168	626331	-	1164	-12.519261278975	-12.8846766638129	7.24421499602262	3049.47771685684	4.80681864676698e-17	2.73557619537235e-16
5172	YNL085W	NC_001146.8	467131	469623	+	2493	-13.9358533530398	-13.0140385316453	6.83065654069462	3049.11116824817	4.81474784949675e-17	2.73557619537235e-16
6274	YPR062W	NC_001148.4	677165	677641	+	477	-12.4918470241155	-12.4154444339304	7.57872428797333	3048.4893646259	4.81502363205882e-17	2.73557619537235e-16
1700	YER074W-A	NC_001137.3;NC_001137.3;NC_001137.3	307653;307849;308068	307746;307956;308123	+;+;+	258	-13.4523780110387	-13.8615638759775	6.08782360257477	3049.41037567737	4.81762029628624e-17	2.73557619537235e-16
6411	YPR190C	NC_001148.4	917077	919041	-	1965	-13.9002315182446	-14.2115796366155	5.77545147675726	3049.84003412808	4.81777818469904e-17	2.73557619537235e-16
1109	YDR140W	NC_001136.10	734138	734803	+	666	-14.7072718874914	-14.3530278448335	5.55919423623442	3050.17960675523	4.81911030280035e-17	2.73557619537235e-16
1405	YDR421W	NC_001136.10	1312040	1314892	+	2853	-13.8665549624189	-13.2140495795145	6.41807091701193	3048.89810764291	4.81948092617479e-17	2.73557619537235e-16
2278	YGR026W	NC_001139.9	532985	533821	+	837	-12.2514519780342	-12.6745337404193	7.65071384246186	3047.19598682748	4.82732591740008e-17	2.73557619537235e-16
766	YDL203C	NC_001136.10	96082	97953	-	1872	-15.185209956618	-15.0609396998252	5.10041441192443	3051.01980033588	4.82971043681932e-17	2.73557619537235e-16
2148	YGL099W	NC_001139.9	314631	316553	+	1923	-14.1599481033618	-14.3588005593654	5.57379984061604	3048.46046229793	4.83309915969287e-17	2.73557619537235e-16
791	YDL176W	NC_001136.10	142097	144223	+	2127	-15.1533870326853	-14.8421458683449	5.26243634744241	3049.63009115684	4.83779257491792e-17	2.73557619537235e-16
